time,latitude,longitude,depth,mag,place
1970-12-08,-30.838,-71.146,50.7,6.5,"Coquimbo, Chile"
1971-02-21,-23.804,-67.151,183.7,6.9,"Jujuy, Argentina"
1971-05-08,-42.229,-71.793,156.2,6.0,"Chubut, Argentina"
1971-05-18,-28.393,-68.778,85.0,6.0,"La Rioja, Argentina"
1971-06-17,-25.375,-68.938,91.7,6.3,"Antofagasta, Chile"
1971-07-09,-32.601,-71.076,60.3,7.8,"Valparaiso, Chile"
1971-07-11,-32.287,-71.778,35.0,6.4,"offshore Valparaiso, Chile"
1971-12-08,-22.805,-70.371,30.0,6.1,"near the coast of Antofagasta, Chile"
1972-02-09,-51.852,-73.917,15.0,6.0,"Magallanes y Antartica Chilena, Chile"
1972-06-08,-30.466,-71.699,45.0,6.7,"offshore Coquimbo, Chile"
1972-09-26,-30.957,-68.208,15.0,6.0,"San Juan, Argentina"
1972-12-29,-30.578,-71.151,45.0,6.1,"Coquimbo, Chile"
1973-02-01,-22.655,-66.195,229.0,6.1,"Jujuy, Argentina"
1973-07-31,-27.118,-71.514,33.0,6.3,"offshore Atacama, Chile"
1973-08-07,-26.781,-70.879,25.0,6.1,"offshore Atacama, Chile"
1973-08-07,-26.829,-70.919,14.0,6.3,"offshore Atacama, Chile"
1973-10-05,-32.987,-71.916,14.0,6.5,"offshore Valparaiso, Chile"
1973-10-05,-32.518,-71.478,33.0,6.7,"offshore Valparaiso, Chile"
1973-10-25,-21.985,-63.656,529.0,6.1,"Tarija, Bolivia"
1974-01-02,-22.538,-68.397,105.0,6.4,"Antofagasta, Chile"
1974-08-18,-38.453,-73.431,36.0,7.1,"Araucania, Chile"
1975-03-13,-29.941,-71.337,4.0,6.9,"offshore Coquimbo, Chile"
1975-05-10,-38.183,-73.232,6.0,7.7,"Bio-Bio, Chile"
1975-08-10,-22.648,-66.589,166.0,6.2,"Jujuy, Argentina"
1975-10-28,-22.862,-70.508,38.0,6.3,"near the coast of Antofagasta, Chile"
1976-01-05,-13.288,-74.899,95.0,6.0,central Peru
1976-02-28,-39.999,-74.727,9.0,6.0,"offshore Los Lagos, Chile"
1976-05-30,-41.637,-75.411,28.0,6.0,"off the coast of Los Lagos, Chile"
1976-11-30,-20.520,-68.919,82.0,6.5,"Tarapaca, Chile"
1977-01-17,-24.848,-68.674,33.0,6.3,"Antofagasta, Chile"
1977-02-04,-24.689,-63.362,549.0,6.0,"Salta, Argentina"
1977-10-22,-27.952,-62.972,614.0,6.1,"Santiago Del Estero, Argentina"
1977-11-23,-31.028,-67.767,13.0,7.4,"San Juan, Argentina"
1977-11-23,-31.178,-66.957,33.0,6.0,"La Rioja, Argentina"
1977-11-24,-31.471,-67.628,33.0,6.0,"San Juan, Argentina"
1977-11-24,-31.615,-67.573,23.0,6.3,"San Juan, Argentina"
1978-08-03,-26.513,-70.544,58.0,6.3,"Atacama, Chile"
1979-02-16,-16.390,-72.658,53.0,6.9,near the coast of southern Peru
1979-04-28,-27.462,-70.953,23.0,6.1,"offshore Atacama, Chile"
1979-05-21,-15.250,-70.089,208.0,6.0,southern Peru
1980-05-26,-19.364,-69.238,114.0,6.1,"Tarapaca, Chile"
1980-07-19,-28.997,-69.675,110.0,6.1,"San Juan, Argentina"
1980-12-11,-21.272,-68.153,80.0,6.1,"Potosi, Bolivia"
1981-03-23,-33.661,-71.892,46.3,6.2,"offshore Valparaiso, Chile"
1981-10-16,-33.134,-73.074,33.0,7.2,"off the coast of Valparaiso, Chile"
1981-11-07,-32.199,-71.336,65.2,6.8,"Valparaiso, Chile"
1982-01-28,-27.383,-71.782,33.0,6.1,"offshore Atacama, Chile"
1982-06-01,-41.548,-75.106,33.0,6.1,"offshore Los Lagos, Chile"
1982-09-15,-14.493,-70.785,128.3,6.3,southern Peru
1982-12-31,-20.993,-68.464,118.0,6.0,"Antofagasta, Chile"
1983-01-01,-16.943,-69.114,172.0,6.3,"La Paz, Bolivia"
1983-02-25,-18.268,-69.438,146.0,6.9,"Tarapaca, Chile"
1983-05-09,-40.930,-74.909,23.0,6.0,"offshore Los Lagos, Chile"
1983-10-04,-26.535,-70.563,14.8,7.4,"Atacama, Chile"
1983-10-09,-26.135,-70.518,16.1,6.7,"Atacama, Chile"
1983-10-16,-23.681,-70.129,65.6,6.1,"Antofagasta, Chile"
1983-12-15,-33.099,-70.120,100.1,6.2,"Region Metropolitana, Chile"
1983-12-21,-28.190,-63.172,601.9,6.9,"Santiago Del Estero, Argentina"
1984-01-01,-22.810,-66.160,272.1,6.0,"Jujuy, Argentina"
1984-02-26,-17.316,-70.526,113.1,6.1,southern Peru
1984-06-11,-30.707,-71.179,46.3,6.2,"Coquimbo, Chile"
1984-06-18,-15.705,-72.491,116.8,6.5,southern Peru
1984-10-20,-24.072,-66.832,192.0,6.2,"Jujuy, Argentina"
1984-12-11,-22.407,-68.599,91.5,6.4,"Antofagasta, Chile"
1985-01-18,-29.374,-70.793,83.2,6.3,"Coquimbo, Chile"
1985-01-26,-33.053,-68.467,5.0,6.2,"Mendoza, Argentina"
1985-03-03,-33.135,-71.871,33.0,8.0,"offshore Valparaiso, Chile"
1985-03-03,-33.120,-71.620,40.0,7.5,"Valparaiso, Chile"
1985-03-03,-32.738,-71.215,33.0,6.4,"Valparaiso, Chile"
1985-03-04,-33.207,-71.663,33.0,7.4,"Valparaiso, Chile"
1985-03-04,-34.115,-71.905,33.0,6.2,"Libertador General Bernardo O'Higgins, Chile"
1985-03-04,-32.925,-71.793,33.0,6.6,"offshore Valparaiso, Chile"
1985-03-04,-33.825,-71.930,33.0,6.3,"offshore Valparaiso, Chile"
1985-03-04,-33.142,-71.997,33.0,6.3,"offshore Valparaiso, Chile"
1985-03-04,-33.842,-71.249,40.1,6.3,"Region Metropolitana, Chile"
1985-03-04,-32.878,-71.818,33.0,6.2,"offshore Valparaiso, Chile"
1985-03-17,-32.633,-71.551,33.0,6.7,"offshore Valparaiso, Chile"
1985-03-19,-33.198,-71.653,42.2,6.7,"Valparaiso, Chile"
1985-03-25,-34.254,-72.185,45.0,6.5,"offshore Libertador O'Higgins, Chile"
1985-04-03,-32.584,-71.656,33.0,6.2,"offshore Valparaiso, Chile"
1985-04-09,-34.131,-71.618,37.8,7.2,"Libertador General Bernardo O'Higgins, Chile"
1985-04-28,-39.728,-75.664,10.0,6.0,"off the coast of Los Lagos, Chile"
1985-05-18,-19.000,-69.053,109.8,6.0,"Tarapaca, Chile"
1985-05-19,-30.253,-71.329,39.1,6.3,"Coquimbo, Chile"
1985-06-10,-27.958,-66.995,151.4,6.4,"Catamarca, Argentina"
1985-07-07,-32.951,-72.072,31.4,6.0,"offshore Valparaiso, Chile"
1985-08-12,-38.378,-73.495,33.0,6.2,"Araucania, Chile"
1985-10-31,-28.692,-63.171,596.0,6.5,"Santiago Del Estero, Argentina"
1986-03-15,-18.909,-67.391,243.1,6.3,"Oruro, Bolivia"
1987-03-05,-24.388,-70.161,62.3,7.6,"Antofagasta, Chile"
1987-03-05,-24.495,-70.701,34.8,7.0,"near the coast of Antofagasta, Chile"
1987-03-06,-24.089,-70.104,41.3,6.1,"Antofagasta, Chile"
1987-03-06,-24.149,-70.118,45.6,6.2,"Antofagasta, Chile"
1987-03-22,-24.058,-70.142,40.2,6.1,"Antofagasta, Chile"
1987-04-01,-22.767,-66.205,248.7,7.0,"Jujuy, Argentina"
1987-05-19,-30.284,-71.484,36.4,6.2,"Coquimbo, Chile"
1987-06-27,-14.097,-75.979,61.0,6.2,near the coast of central Peru
1987-07-13,-15.332,-70.061,241.4,6.0,southern Peru
1987-08-08,-19.022,-69.991,69.7,7.2,"Tarapaca, Chile"
1987-08-13,-17.897,-70.931,36.5,6.6,southern Peru
